Sample_Name,Sample_Project,Amount,Microbiome,Category.,X,Sample,Highest.Dose.,Further.Dilutions.,fq1,fq2,Rep,Sample_Abbrv
beetroot-5-K10-1,KeminCaninePartThree,5,K10,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-5-K10-1_L001_R1_001.fastq.gz,beetroot-5-K10-1_L001_R2_001.fastq.gz,1,beetroot
beetroot-5-K10-2,KeminCaninePartTwo,5,K10,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-5-K10-2_L001_R1_001.fastq.gz,beetroot-5-K10-2_L001_R2_001.fastq.gz,2,beetroot
beetroot-5-K10-3,KeminCaninePartOne,5,K10,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-5-K10-3_L001_R1_001.fastq.gz,beetroot-5-K10-3_L001_R2_001.fastq.gz,3,beetroot
beetroot-5-K3-1,KeminCaninePartTwo,5,K3,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-5-K3-1_L001_R1_001.fastq.gz,beetroot-5-K3-1_L001_R2_001.fastq.gz,1,beetroot
beetroot-5-K3-2,KeminCaninePartThree,5,K3,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-5-K3-2_L001_R1_001.fastq.gz,beetroot-5-K3-2_L001_R2_001.fastq.gz,2,beetroot
beetroot-5-K3-3,KeminCaninePartOne,5,K3,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-5-K3-3_L001_R1_001.fastq.gz,beetroot-5-K3-3_L001_R2_001.fastq.gz,3,beetroot
beetroot-5-K5-1,KeminCaninePartTwo,5,K5,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-5-K5-1_L001_R1_001.fastq.gz,beetroot-5-K5-1_L001_R2_001.fastq.gz,1,beetroot
beetroot-5-K5-2,KeminCaninePartThree,5,K5,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-5-K5-2_L001_R1_001.fastq.gz,beetroot-5-K5-2_L001_R2_001.fastq.gz,2,beetroot
beetroot-5-K5-3,KeminCaninePartOne,5,K5,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-5-K5-3_L001_R1_001.fastq.gz,beetroot-5-K5-3_L001_R2_001.fastq.gz,3,beetroot
beetroot-5-K7-1,KeminCaninePartThree,5,K7,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-5-K7-1_L001_R1_001.fastq.gz,beetroot-5-K7-1_L001_R2_001.fastq.gz,1,beetroot
beetroot-5-K7-2,KeminCaninePartTwo,5,K7,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-5-K7-2_L001_R1_001.fastq.gz,beetroot-5-K7-2_L001_R2_001.fastq.gz,2,beetroot
beetroot-5-K7-3,KeminCaninePartOne,5,K7,Botanicals,10,beetroot powder,20mg,"10,5,1mg",beetroot-5-K7-3_L001_R1_001.fastq.gz,beetroot-5-K7-3_L001_R2_001.fastq.gz,3,beetroot
BetaVia-1-K10-1,KeminCaninePartThree,1,K10,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-1-K10-1_L001_R1_001.fastq.gz,BetaVia-1-K10-1_L001_R2_001.fastq.gz,1,BetaVia
BetaVia-1-K10-2,KeminCaninePartTwo,1,K10,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-1-K10-2_L001_R1_001.fastq.gz,BetaVia-1-K10-2_L001_R2_001.fastq.gz,2,BetaVia
BetaVia-1-K10-3,KeminCaninePartOne,1,K10,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-1-K10-3_L001_R1_001.fastq.gz,BetaVia-1-K10-3_L001_R2_001.fastq.gz,3,BetaVia
BetaVia-1-K3-1,KeminCaninePartOne,1,K3,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-1-K3-1_L001_R1_001.fastq.gz,BetaVia-1-K3-1_L001_R2_001.fastq.gz,1,BetaVia
BetaVia-1-K3-2,KeminCaninePartThree,1,K3,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-1-K3-2_L001_R1_001.fastq.gz,BetaVia-1-K3-2_L001_R2_001.fastq.gz,2,BetaVia
BetaVia-1-K3-3,KeminCaninePartTwo,1,K3,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-1-K3-3_L001_R1_001.fastq.gz,BetaVia-1-K3-3_L001_R2_001.fastq.gz,3,BetaVia
BetaVia-1-K5-1,KeminCaninePartOne,1,K5,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-1-K5-1_L001_R1_001.fastq.gz,BetaVia-1-K5-1_L001_R2_001.fastq.gz,1,BetaVia
BetaVia-1-K5-2,KeminCaninePartThree,1,K5,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-1-K5-2_L001_R1_001.fastq.gz,BetaVia-1-K5-2_L001_R2_001.fastq.gz,2,BetaVia
BetaVia-1-K5-3,KeminCaninePartTwo,1,K5,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-1-K5-3_L001_R1_001.fastq.gz,BetaVia-1-K5-3_L001_R2_001.fastq.gz,3,BetaVia
BetaVia-1-K7-1,KeminCaninePartThree,1,K7,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-1-K7-1_L001_R1_001.fastq.gz,BetaVia-1-K7-1_L001_R2_001.fastq.gz,1,BetaVia
BetaVia-1-K7-2,KeminCaninePartOne,1,K7,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-1-K7-2_L001_R1_001.fastq.gz,BetaVia-1-K7-2_L001_R2_001.fastq.gz,2,BetaVia
BetaVia-1-K7-3,KeminCaninePartTwo,1,K7,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-1-K7-3_L001_R1_001.fastq.gz,BetaVia-1-K7-3_L001_R2_001.fastq.gz,3,BetaVia
BetaVia-10-K10-1,KeminCaninePartOne,10,K10,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-10-K10-1_L001_R1_001.fastq.gz,BetaVia-10-K10-1_L001_R2_001.fastq.gz,1,BetaVia
BetaVia-10-K10-2,KeminCaninePartThree,10,K10,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-10-K10-2_L001_R1_001.fastq.gz,BetaVia-10-K10-2_L001_R2_001.fastq.gz,2,BetaVia
BetaVia-10-K10-3,KeminCaninePartTwo,10,K10,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-10-K10-3_L001_R1_001.fastq.gz,BetaVia-10-K10-3_L001_R2_001.fastq.gz,3,BetaVia
BetaVia-10-K3-1,KeminCaninePartThree,10,K3,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-10-K3-1_L001_R1_001.fastq.gz,BetaVia-10-K3-1_L001_R2_001.fastq.gz,1,BetaVia
BetaVia-10-K3-2,KeminCaninePartOne,10,K3,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-10-K3-2_L001_R1_001.fastq.gz,BetaVia-10-K3-2_L001_R2_001.fastq.gz,2,BetaVia
BetaVia-10-K3-3,KeminCaninePartTwo,10,K3,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-10-K3-3_L001_R1_001.fastq.gz,BetaVia-10-K3-3_L001_R2_001.fastq.gz,3,BetaVia
BetaVia-10-K5-1,KeminCaninePartTwo,10,K5,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-10-K5-1_L001_R1_001.fastq.gz,BetaVia-10-K5-1_L001_R2_001.fastq.gz,1,BetaVia
BetaVia-10-K5-2,KeminCaninePartThree,10,K5,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-10-K5-2_L001_R1_001.fastq.gz,BetaVia-10-K5-2_L001_R2_001.fastq.gz,2,BetaVia
BetaVia-10-K5-3,KeminCaninePartOne,10,K5,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-10-K5-3_L001_R1_001.fastq.gz,BetaVia-10-K5-3_L001_R2_001.fastq.gz,3,BetaVia
BetaVia-10-K7-1,KeminCaninePartTwo,10,K7,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-10-K7-1_L001_R1_001.fastq.gz,BetaVia-10-K7-1_L001_R2_001.fastq.gz,1,BetaVia
BetaVia-10-K7-2,KeminCaninePartOne,10,K7,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-10-K7-2_L001_R1_001.fastq.gz,BetaVia-10-K7-2_L001_R2_001.fastq.gz,2,BetaVia
BetaVia-10-K7-3,KeminCaninePartThree,10,K7,b-glucan,9,BetaVia Pure WD,20mg,"10,5,1mg",BetaVia-10-K7-3_L001_R1_001.fastq.gz,BetaVia-10-K7-3_L001_R2_001.fastq.gz,3,BetaVia
